period value
0.0 0.45675
0.011111111111111112 0.50115625
0.022222222222222223 0.5455625
0.03333333333333333 0.5899687499999999
0.044444444444444446 0.6343749999999999
0.05555555555555556 0.67878125
0.06666666666666667 0.7231875
0.07777777777777778 0.7675937499999999
0.08888888888888889 0.8119999999999999
0.1 0.85640625
0.1 0.85640625
0.11666666666666667 0.85640625
0.13333333333333333 0.85640625
0.15000000000000002 0.85640625
0.16666666666666669 0.85640625
0.18333333333333335 0.85640625
0.2 0.85640625
0.21666666666666667 0.85640625
0.23333333333333334 0.85640625
0.25 0.85640625
0.25 0.85640625
0.4444444444444444 0.481728515625
0.6388888888888888 0.3351154891304348
0.8333333333333334 0.256921875
1.0277777777777777 0.20831503378378383
1.2222222222222223 0.17517400568181818
1.4166666666666667 0.15113051470588235
1.6111111111111112 0.137025
1.8055555555555556 0.137025
2.0 0.137025
2.0 0.137025
2.888888888888889 0.137025
3.7777777777777777 0.137025
4.666666666666666 0.137025
5.555555555555555 0.137025
6.444444444444445 0.137025
7.333333333333333 0.137025
8.222222222222221 0.137025
9.11111111111111 0.137025
10.0 0.137025
