period value
0.0 2.083333333333333
0.0071428571428571435 2.2135416666666665
0.014285714285714287 2.34375
0.02142857142857143 2.473958333333333
0.028571428571428574 2.6041666666666665
0.03571428571428572 2.734375
0.04285714285714286 2.864583333333333
0.05 2.9947916666666665
0.05714285714285715 3.125
0.0642857142857143 3.2552083333333335
0.07142857142857144 3.3854166666666665
0.07857142857142858 3.515625
0.08571428571428572 3.645833333333333
0.09285714285714286 3.776041666666667
0.1 3.90625
0.1 3.90625
0.15555555555555556 3.90625
0.2111111111111111 3.90625
0.26666666666666666 3.90625
0.3222222222222222 3.90625
0.37777777777777777 3.90625
0.43333333333333335 3.90625
0.4888888888888888 3.90625
0.5444444444444444 3.90625
0.6 3.90625
0.6 3.90625
0.7555555555555555 3.1020220588235294
0.9111111111111111 2.5724085365853657
1.0666666666666667 2.197265625
1.2222222222222223 1.9176136363636362
1.3777777777777778 1.701108870967742
1.5333333333333332 1.5285326086956523
1.688888888888889 1.3877467105263157
1.8444444444444446 1.270707831325301
2.0 1.171875
2.0 1.171875
2.4210526315789473 0.799710538752363
2.8421052631578947 0.625
3.263157894736842 0.625
3.6842105263157894 0.625
4.105263157894736 0.625
4.526315789473684 0.625
4.947368421052632 0.625
5.368421052631579 0.625
5.789473684210526 0.625
6.2105263157894735 0.625
6.631578947368421 0.625
7.052631578947368 0.625
7.473684210526315 0.625
7.894736842105263 0.625
8.31578947368421 0.625
8.736842105263158 0.625
9.157894736842104 0.625
9.578947368421051 0.625
10.0 0.625
