period value
0.0 1.6666666666666665
0.01 1.8125
0.02 1.9583333333333333
0.03 2.1041666666666665
0.04 2.25
0.05 2.395833333333333
0.06 2.5416666666666665
0.07 2.6875
0.08 2.833333333333333
0.09 2.9791666666666665
0.1 3.125
0.115 3.125
0.13 3.125
0.14500000000000002 3.125
0.16 3.125
0.175 3.125
0.19 3.125
0.20500000000000002 3.125
0.22 3.125
0.23500000000000001 3.125
0.25 3.125
0.425 1.8382352941176472
0.6 1.3020833333333335
0.7749999999999999 1.0080645161290325
0.95 0.8223684210526316
1.125 0.6944444444444444
1.2999999999999998 0.6009615384615385
1.4749999999999999 0.5296610169491526
1.65 0.5
1.825 0.5
2.0 0.5
2.2758620689655173 0.5
2.5517241379310347 0.5
2.8275862068965516 0.5
3.103448275862069 0.5
3.3793103448275863 0.5
3.655172413793103 0.5
3.9310344827586206 0.5
4.206896551724138 0.5
4.482758620689655 0.5
4.758620689655173 0.5
5.0344827586206895 0.5
5.310344827586206 0.5
5.586206896551724 0.5
5.862068965517241 0.5
6.137931034482759 0.5
6.413793103448276 0.5
6.689655172413793 0.5
6.9655172413793105 0.5
7.241379310344827 0.5
7.517241379310345 0.5
7.793103448275862 0.5
8.068965517241379 0.5
8.344827586206897 0.5
8.620689655172413 0.5
8.89655172413793 0.5
9.172413793103448 0.5
9.448275862068964 0.5
9.724137931034482 0.5
10.0 0.5
